model_label,n_params_b,mean_encoding,std_encoding,mean_lateralization
Pythia-1B-deduped,1.0,0.4041050539561024,0.04622445454774118,0.0037345906805599806
Pythia-1.4B-deduped,1.4,0.4114138274376834,0.04658597679624236,0.007747311878038224
Pythia-2.8B-deduped,2.8,0.4150101569001145,0.04773172039728799,0.000951952255438865
Pythia-6.9B-deduped,6.9,0.4252019337221716,0.045593113848805884,0.008079024591507524
Pythia-12B-deduped,12.0,0.4294445031593235,0.04642381903456146,0.009436055820402987
