model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,parcel,n_voxels_left,n_voxels_right,mean_pearson_left,mean_pearson_right,lateralization_index,lateralization_pvalue,mean_pearson,model_dir,n_params,n_params_b,log10_n_params,encoding,best_step,best_layer
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Inferior Temporal Gyrus, posterior division",3,0,0.4830221811311677,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4830221811311677,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Inferior Temporal Gyrus, temporooccipital part",45,6,0.4785921350064309,0.4035432991410406,0.0750488358653903,0.0080285879471813,0.469762860198738,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4410677170737357,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Postcentral Gyrus,9,0,0.3816431716733008,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3816431716733008,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Superior Parietal Lobule,33,10,0.4169542782260905,0.3727208991963556,0.0442333790297348,0.0062877132063421,0.4066674458935939,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.39483758871122304,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Supramarginal Gyrus, anterior division",44,9,0.4223646278564728,0.3522002272662263,0.0701644005902464,7.628227546788717e-07,0.4104499183222799,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.38728242756134956,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Supramarginal Gyrus, posterior division",155,145,0.4302835484418776,0.4820969798504691,-0.0518134314085915,1.7940222085839553e-12,0.4553267069560302,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.45619026414617336,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Angular Gyrus,140,189,0.4381341582084147,0.428611434566822,0.0095227236415927,0.1069898770191926,0.4326636573930316,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4333727963876184,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Lateral Occipital Cortex, superior division",212,191,0.4668881460259798,0.4377017643266904,0.0291863816992893,9.729763714563894e-06,0.4530553944017508,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4522949551763351,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Lateral Occipital Cortex, inferior division",17,11,0.3899062772425143,0.3728768178338921,0.0170294594086222,0.2115435929252931,0.3832161324748412,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3813915475382032,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Intracalcarine Cortex,0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
