model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,roi,mean_pearson,std_pearson,n_voxels,model_dir,n_params,n_params_b,log10_n_params
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,2,35361.87222222222,pSTS,0.283272367333674,0.039807037217546,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,AG_TPJ,0.2799152470273301,0.0578109224709009,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,BA44,0.3468045941606002,0.0469033530608518,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,BA45,0.3918202528905937,0.0642937833241228,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,BA47,0.3293354660181631,0.040641809768386,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,TP,0.3481039471906644,0.0436765105607566,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,aSTS,0.3102588914689074,0.0249951260309526,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,3,35361.87222222222,pSTS,0.31629197158649,0.0388060699902035,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,AG_TPJ,0.3231992378190508,0.0531162292588774,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,BA44,0.37555429195315,0.0483664512787239,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,BA45,0.4240927646213208,0.0662232492437029,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,BA47,0.3582856409917306,0.0405483892365147,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,TP,0.3739651905942011,0.0456353283624752,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,aSTS,0.3466592274157136,0.0247663922455405,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,4,27071.358888888888,pSTS,0.3490065736150264,0.0355378376912017,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,AG_TPJ,0.3383923693984119,0.0550333855261701,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,BA44,0.3864958951518898,0.045789816877513,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,BA45,0.4326110533918637,0.0637987822397321,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,BA47,0.370034540719026,0.0383696898727154,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,TP,0.3815070995911654,0.0459449813398535,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,aSTS,0.3524934095448894,0.0205024442286049,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,5,24307.85444444444,pSTS,0.3601701564188377,0.0372419711348148,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,AG_TPJ,0.3627146487540383,0.0573974268741438,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,BA44,0.404831891098939,0.0471826161441271,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
