model_id,model_label,revision,step,tokens_seen,lang,n_layers,n_subjects,layer_0_pearson,layer_0_pearson_left,layer_0_pearson_right,layer_0_lat,layer_1_pearson,layer_1_pearson_left,layer_1_pearson_right,layer_1_lat,layer_2_pearson,layer_2_pearson_left,layer_2_pearson_right,layer_2_lat,layer_3_pearson,layer_3_pearson_left,layer_3_pearson_right,layer_3_lat,layer_4_pearson,layer_4_pearson_left,layer_4_pearson_right,layer_4_lat,layer_5_pearson,layer_5_pearson_left,layer_5_pearson_right,layer_5_lat,layer_6_pearson,layer_6_pearson_left,layer_6_pearson_right,layer_6_lat,layer_7_pearson,layer_7_pearson_left,layer_7_pearson_right,layer_7_lat,layer_8_pearson,layer_8_pearson_left,layer_8_pearson_right,layer_8_lat,layer_9_pearson,layer_9_pearson_left,layer_9_pearson_right,layer_9_lat,layer_10_pearson,layer_10_pearson_left,layer_10_pearson_right,layer_10_lat,layer_11_pearson,layer_11_pearson_left,layer_11_pearson_right,layer_11_lat,layer_12_pearson,layer_12_pearson_left,layer_12_pearson_right,layer_12_lat,layer_13_pearson,layer_13_pearson_left,layer_13_pearson_right,layer_13_lat,layer_14_pearson,layer_14_pearson_left,layer_14_pearson_right,layer_14_lat,layer_15_pearson,layer_15_pearson_left,layer_15_pearson_right,layer_15_lat,layer_16_pearson,layer_16_pearson_left,layer_16_pearson_right,layer_16_lat,layer_17_pearson,layer_17_pearson_left,layer_17_pearson_right,layer_17_lat,layer_18_pearson,layer_18_pearson_left,layer_18_pearson_right,layer_18_lat,layer_19_pearson,layer_19_pearson_left,layer_19_pearson_right,layer_19_lat,layer_20_pearson,layer_20_pearson_left,layer_20_pearson_right,layer_20_lat,layer_21_pearson,layer_21_pearson_left,layer_21_pearson_right,layer_21_lat,layer_22_pearson,layer_22_pearson_left,layer_22_pearson_right,layer_22_lat,layer_23_pearson,layer_23_pearson_left,layer_23_pearson_right,layer_23_lat,layer_24_pearson,layer_24_pearson_left,layer_24_pearson_right,layer_24_lat,best_layer,mean_pearson,mean_pearson_left,mean_pearson_right,lateralization_index,layer_0_alpha,layer_1_alpha,layer_2_alpha,layer_3_alpha,layer_4_alpha,layer_5_alpha,layer_6_alpha,layer_7_alpha,layer_8_alpha,layer_9_alpha,layer_10_alpha,layer_11_alpha,layer_12_alpha,layer_13_alpha,layer_14_alpha,layer_15_alpha,layer_16_alpha,layer_17_alpha,layer_18_alpha,layer_19_alpha,layer_20_alpha,layer_21_alpha,layer_22_alpha,layer_23_alpha,layer_24_alpha,model_dir,model_folder,layer_25_pearson,layer_25_pearson_left,layer_25_pearson_right,layer_25_lat,layer_26_pearson,layer_26_pearson_left,layer_26_pearson_right,layer_26_lat,layer_27_pearson,layer_27_pearson_left,layer_27_pearson_right,layer_27_lat,layer_28_pearson,layer_28_pearson_left,layer_28_pearson_right,layer_28_lat,layer_29_pearson,layer_29_pearson_left,layer_29_pearson_right,layer_29_lat,layer_30_pearson,layer_30_pearson_left,layer_30_pearson_right,layer_30_lat,layer_31_pearson,layer_31_pearson_left,layer_31_pearson_right,layer_31_lat,layer_32_pearson,layer_32_pearson_left,layer_32_pearson_right,layer_32_lat,layer_33_pearson,layer_33_pearson_left,layer_33_pearson_right,layer_33_lat,layer_34_pearson,layer_34_pearson_left,layer_34_pearson_right,layer_34_lat,layer_35_pearson,layer_35_pearson_left,layer_35_pearson_right,layer_35_lat,layer_36_pearson,layer_36_pearson_left,layer_36_pearson_right,layer_36_lat,layer_25_alpha,layer_26_alpha,layer_27_alpha,layer_28_alpha,layer_29_alpha,layer_30_alpha,layer_31_alpha,layer_32_alpha,layer_33_alpha,layer_34_alpha,layer_35_alpha,layer_36_alpha,n_params,n_params_b,log10_n_params
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step0,0,0,en,37,1,0.168243972825071,0.16685526112935,0.1696326845207921,-0.0027774233914421,0.1897998675404375,0.1794880723983605,0.2001116626825145,-0.0206235902841539,0.1843037551363813,0.1711238555349694,0.1974836547377932,-0.0263597992028238,0.1833471194786011,0.1711500656464531,0.195544173310749,-0.0243941076642959,0.179923764859689,0.1674888527392901,0.1923586769800881,-0.0248698242407979,0.1782525826510267,0.1672449386970721,0.1892602266049813,-0.0220152879079091,0.1780592290199575,0.1669477775996421,0.189170680440273,-0.0222229028406308,0.1753820839526518,0.1631295797623901,0.1876345881429136,-0.0245050083805234,0.1781209996600095,0.1659191677219605,0.1903228315980585,-0.0244036638760979,0.1764736798035627,0.1640752287371231,0.1888721308700022,-0.024796902132879,0.1760077798382412,0.1637655407379977,0.1882500189384846,-0.0244844782004868,0.1752962119993502,0.1629506463205271,0.1876417776781734,-0.0246911313576462,0.1754814661301907,0.1625426989708189,0.1884202332895626,-0.0258775343187436,0.1754992378191961,0.161641823159794,0.1893566524785983,-0.0277148293188042,0.1759375204116339,0.1626289933350095,0.1892460474882583,-0.0266170541532488,0.1771870867572414,0.1642153633101913,0.1901588102042916,-0.0259434468941003,0.1761277216228598,0.1635053091193908,0.1887501341263288,-0.025244825006938,0.1765969525112606,0.1637723331630571,0.1894215718594641,-0.025649238696407,0.1742080509214597,0.1616493638060335,0.1867667380368857,-0.0251173742308521,0.1725824324841059,0.1602318970145375,0.1849329679536744,-0.0247010709391369,0.1733188641515763,0.1610469588330652,0.1855907694700874,-0.0245438106370221,0.1686295924106716,0.1563856407789847,0.1808735440423585,-0.0244879032633738,0.1669808127097891,0.1549208513721789,0.1790407740473993,-0.0241199226752203,0.1677851862907189,0.1555480892672565,0.1800222833141813,-0.0244741940469248,0.1673345382254699,0.1556971465549105,0.1789719298960292,-0.0232747833411187,1,0.1897998675404375,0.1794880723983605,0.2001116626825145,-0.0206235902841539,75328.91555555555,55559.965555555566,46842.67111111112,38125.37666666666,40888.88111111111,40888.88111111111,40888.88111111111,40888.88111111111,55559.965555555566,58323.47,55559.965555555566,55559.965555555566,55559.965555555566,49606.17555555556,49606.17555555556,43652.38555555555,42369.68,42369.68,48323.47,48323.47,40888.88111111111,32598.36777777777,29834.863333333327,29834.863333333327,28552.15777777777,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.1680416399437483,0.1557885013758581,0.1802947785116385,-0.0245062771357803,0.1677329776032268,0.1556515438435151,0.1798144113629385,-0.0241628675194233,0.1680272427978032,0.1559761973113672,0.1800782882842393,-0.024102090972872,0.1665954515245237,0.154387804798981,0.1788030982500665,-0.0244152934510855,0.1668484787137032,0.1546259174233644,0.1790710400040421,-0.0244451225806777,0.1670319724756558,0.154149225356379,0.1799147195949326,-0.0257654942385535,0.1668045118996692,0.1534489447800212,0.1801600790193172,-0.026711134239296,0.1658124050058448,0.1522577682700434,0.1793670417416462,-0.0271092734716027,0.1657356059305309,0.1521034450795847,0.1793677667814771,-0.0272643217018924,0.1647576970367991,0.1509657655566299,0.1785496285169682,-0.0275838629603382,0.1669991731422014,0.1533715456335385,0.1806268006508643,-0.0272552550173257,0.1667699877700342,0.1526403554242122,0.1808996201158564,-0.0282592646916442,29834.863333333327,29834.863333333327,27071.358888888888,27071.358888888888,29834.863333333327,27071.358888888888,27071.358888888888,27071.358888888888,27071.358888888888,27071.358888888888,27071.358888888888,27071.358888888888,12000000000.0,12.0,10.079181246047625
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step8000,8000,16777216000,en,37,1,0.2218322608074335,0.2201442242023671,0.2235202974124999,-0.0033760732101328,0.2700311862746547,0.261607499788702,0.2784548727606072,-0.0168473729719051,0.2925384645878133,0.2863473689523432,0.2987295602232834,-0.0123821912709402,0.3154484143605102,0.3102618832136306,0.3206349455073898,-0.0103730622937592,0.3323317830778287,0.32795639753016,0.3367071686254973,-0.0087507710953372,0.3557354442588652,0.3533550714625479,0.3581158170551826,-0.0047607455926346,0.3687980877840933,0.3669581635612493,0.3706380120069372,-0.0036798484456879,0.3731542125691112,0.3719847577219793,0.3743236674162429,-0.0023389096942635,0.3818959920190743,0.3821937314739599,0.3815982525641888,0.0005954789097711,0.3861455474019012,0.3873878630462747,0.3849032317575277,0.002484631288747,0.3872390716177898,0.3880384210856663,0.3864397221499134,0.0015986989357528,0.3907861621107135,0.3906940495113383,0.3908782747100887,-0.0001842251987503,0.3919644100315537,0.3922747473589401,0.3916540727041675,0.0006206746547725,0.395831783520337,0.396964665870498,0.3946989011701761,0.0022657647003219,0.3991775078357708,0.4007329824082591,0.3976220332632825,0.0031109491449766,0.4013384706103777,0.4025592417069353,0.40011769951382,0.0024415421931152,0.4021397503584136,0.4032013492216657,0.4010781514951617,0.0021231977265039,0.4021425746346866,0.4043792663801603,0.399905882889213,0.0044733834909472,0.4015802727083593,0.4037004591893869,0.3994600862273316,0.0042403729620552,0.4025565846009103,0.4048337267996977,0.4002794424021229,0.0045542843975748,0.4026528196711045,0.4052856573738823,0.4000199819683268,0.0052656754055555,0.4034382900230389,0.4064746834234785,0.4004018966225992,0.0060727868008792,0.4015705191531482,0.4044505890378422,0.398690449268454,0.0057601397693882,0.4005323811591162,0.4034344537332862,0.3976303085849463,0.0058041451483399,0.3984802202345395,0.4010931965686561,0.3958672439004229,0.0052259526682332,21,0.4034382900230389,0.4064746834234785,0.4004018966225992,0.0060727868008792,70657.83111111113,76184.84000000001,70231.05,94046.21,106873.26222222224,94046.21,100000.0,94046.21,88092.42,76184.84000000001,76184.84000000001,88092.42,88092.42,94046.21,94046.21,94046.21,82138.63,64277.26000000001,58323.47,58323.47,58323.47,58323.47,58323.47,58323.47,64277.26000000001,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.397330691163521,0.3995615065718761,0.3950998757551658,0.0044616308167102,0.3969045729955739,0.398993920217448,0.3948152257736998,0.0041786944437481,0.3946145137790666,0.3963134116458933,0.39291561591224,0.0033977957336532,0.3937798177112511,0.3953948719883274,0.3921647634341745,0.0032301085541528,0.3915669576310658,0.3928338002835818,0.3903001149785498,0.0025336853050319,0.3901515336575133,0.3908498800780744,0.3894531872369521,0.0013966928411222,0.389323147216302,0.3893983712968674,0.3892479231357366,0.0001504481611308,0.3879120191863995,0.3881342502212681,0.3876897881515309,0.0004444620697372,0.3866120574413455,0.3866987468245088,0.3865253680581821,0.0001733787663266,0.3852978639375041,0.385030103327348,0.3855656245476602,-0.0005355212203121,0.3842036027290309,0.3837887454983026,0.3846184599597592,-0.0008297144614565,0.3859924213326125,0.3861709378129391,0.3858139048522859,0.0003570329606532,58323.47,52369.68,64277.26000000001,58323.47,64277.26000000001,64277.26000000001,70231.05,67467.54555555555,67467.54555555555,67467.54555555555,61513.75555555556,55559.965555555566,12000000000.0,12.0,10.079181246047625
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step32000,32000,67108864000,en,37,1,0.2377500834712816,0.2353285774390409,0.2401715895035222,-0.0048430120644813,0.2723024729227046,0.2625606774455562,0.2820442683998532,-0.0194835909542969,0.2996064467489321,0.2930340107491103,0.3061788827487538,-0.0131448719996434,0.3246976225580225,0.321351013332095,0.3280442317839499,-0.0066932184518548,0.3411129360330892,0.3387616828877066,0.3434641891784719,-0.0047025062907653,0.3650351491968099,0.3641841375400023,0.3658861608536174,-0.0017020233136151,0.3740854628576095,0.3738018780285735,0.3743690476866456,-0.0005671696580721,0.3860162182528693,0.3870132115041732,0.3850192250015653,0.0019939865026079,0.3946076056626636,0.397522969825794,0.3916922414995331,0.0058307283262609,0.4045105670157198,0.4084178890901464,0.4006032449412934,0.007814644148853,0.4057446355998526,0.410365159661594,0.4011241115381112,0.0092410481234828,0.4133776344687028,0.4174584729372615,0.4092967960001442,0.0081616769371173,0.4142513346848078,0.4188466611334768,0.4096560082361387,0.0091906528973381,0.4210327914222394,0.4254708194466311,0.4165947633978477,0.0088760560487833,0.424680026377958,0.4296963443792262,0.4196637083766896,0.0100326360025366,0.4304348011531115,0.4360751631004149,0.424794439205808,0.0112807238946069,0.42937775599217,0.4349277800015284,0.4238277319828116,0.0111000480187167,0.4297302738217985,0.4355122611481022,0.4239482864954949,0.0115639746526073,0.4269745686114647,0.4321311982633617,0.4218179389595676,0.0103132593037941,0.4261517714883147,0.4318456326598951,0.4204579103167341,0.0113877223431609,0.42618573759694,0.4317249100838757,0.4206465651100044,0.0110783449738712,0.4245379482998256,0.4302351063742026,0.4188407902254487,0.0113943161487538,0.421156681245798,0.4269479720042884,0.4153653904873075,0.0115825815169809,0.4203156328382181,0.4259058089935357,0.4147254566829004,0.0111803523106352,0.4175343303809755,0.4233760071449164,0.4116926536170347,0.0116833535278816,15,0.4304348011531115,0.4360751631004149,0.424794439205808,0.0112807238946069,82138.63,49606.17555555556,76184.84000000001,88092.42,106873.26222222224,94046.21,76184.84000000001,58323.47,58323.47,46415.89,46415.89,52369.68,52369.68,58323.47,52369.68,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,43652.38555555555,46415.89,43652.38555555555,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.4153572991600682,0.420962796122859,0.4097518021972773,0.0112109939255816,0.4145307988007433,0.4203057531100581,0.4087558444914284,0.0115499086186297,0.4128327517019644,0.418365303525319,0.4073001998786097,0.0110651036467093,0.4109447403715785,0.4163668788358532,0.4055226019073037,0.0108442769285495,0.4080182176314834,0.4134348394210381,0.4026015958419287,0.0108332435791094,0.4057126677760984,0.4107622309324036,0.4006631046197932,0.0100991263126103,0.4041905503097647,0.4091682114025533,0.3992128892169762,0.009955322185577,0.4028716786728863,0.4078213871161995,0.3979219702295732,0.0098994168866262,0.4014982989788881,0.4062539368151958,0.3967426611425804,0.0095112756726154,0.4004451469919806,0.4050352034558618,0.3958550905280993,0.0091801129277624,0.4002736183161985,0.4047070559604676,0.3958401806719294,0.0088668752885381,0.3996503402135302,0.4047410104233176,0.3945596700037428,0.0101813404195748,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,40888.88111111111,12000000000.0,12.0,10.079181246047625
EleutherAI/pythia-1b-deduped,Pythia-1B-deduped,step143000,143000,299892736000,en,17,1,0.2628545602717588,0.2582674379509794,0.2674416825925382,-0.0091742446415588,0.301867133256638,0.2962092606823916,0.3075250058308844,-0.0113157451484927,0.3194440651762643,0.3153279339925466,0.3235601963599819,-0.0082322623674352,0.3479060774893781,0.3463839851618103,0.3494281698169458,-0.0030441846551355,0.3731631001555673,0.3724386684347369,0.3738875318763978,-0.0014488634416608,0.3848619028378253,0.3869079066647871,0.3828158990108635,0.0040920076539235,0.3857616208228014,0.3873652525488438,0.3841579890967588,0.0032072634520849,0.4034073918088861,0.4067287158068615,0.4000860678109106,0.0066426479959508,0.4078304951746469,0.412096076120251,0.4035649142290428,0.0085311618912082,0.4105742673033537,0.4150180543480893,0.4061304802586181,0.0088875740894712,0.4045062103827886,0.4089529814135825,0.4000594393519947,0.0088935420615878,0.404680418966297,0.4095533827273404,0.3998074552052536,0.0097459275220867,0.4001322418379073,0.4049581989029825,0.3953062847728322,0.0096519141301503,0.3919549855589135,0.3951425501670115,0.3887674209508154,0.006375129216196,0.3846668021200679,0.3878029004018298,0.3815307038383059,0.0062721965635238,0.3785988591700671,0.3815231422343418,0.3756745761057925,0.0058485661285493,0.3695581213152357,0.3711162672122288,0.3679999754182426,0.0031162917939862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4105742673033537,0.4150180543480893,0.4061304802586181,0.0088875740894712,40888.88111111111,32598.36777777777,43652.38555555555,24307.85444444444,24307.85444444444,21544.35,21544.35,24307.85444444444,29834.863333333327,29834.863333333327,27071.358888888888,24307.85444444444,21544.35,21544.35,20261.64444444444,23025.14888888889,23025.14888888889,,,,,,,,,EleutherAI_pythia-1b-deduped,EleutherAI_pythia-1b-deduped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000.0,1.0,9.0
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,25,1,0.2658367827752705,0.2614204003072617,0.2702531652432793,-0.0088327649360175,0.3007405357914457,0.2901599212205365,0.311321150362355,-0.0211612291418185,0.3181538150015215,0.3102682480745339,0.3260393819285092,-0.0157711338539753,0.3387789753310939,0.3344572799986516,0.3431006706635363,-0.0086433906648847,0.3620784499790271,0.3608441689320634,0.3633127310259907,-0.0024685620939272,0.3713484094507511,0.371094572530674,0.3716022463708282,-0.0005076738401542,0.3850164163219818,0.3875407842992124,0.382492048344751,0.0050487359544614,0.3990878595906917,0.4032647007164754,0.3949110184649079,0.0083536822515675,0.4024570309470316,0.4070953486309265,0.3978187132631366,0.0092766353677898,0.4113675375477547,0.4167336226562102,0.4060014524392992,0.010732170216911,0.4177201247360362,0.4239311192166043,0.4115091302554681,0.0124219889611362,0.4210606686108594,0.4285910412465156,0.4135302959752032,0.0150607452713123,0.418496048810695,0.4252745012458341,0.411717596375556,0.0135569048702781,0.4175388667481197,0.4230872442523455,0.4119904892438938,0.0110967550084517,0.4190533610384595,0.424681975642727,0.4134247464341919,0.011257229208535,0.4152635658044555,0.420444682191221,0.4100824494176901,0.0103622327735308,0.4102226469320992,0.4145692724945796,0.4058760213696188,0.0086932511249607,0.4080704807529563,0.4130922671725366,0.4030486943333761,0.0100435728391605,0.4032229105882133,0.4079975886093014,0.3984482325671251,0.0095493560421763,0.3974785988451699,0.4006909396093433,0.3942662580809964,0.0064246815283468,0.3952504229442029,0.3979887832290194,0.3925120626593864,0.0054767205696329,0.3914368022604582,0.3939290272256012,0.388944577295315,0.0049844499302861,0.3859469051977368,0.388123973081827,0.3837698373136468,0.0043541357681802,0.3844505089965727,0.386034914618337,0.3828661033748083,0.0031688112435287,0.3823080154121795,0.38278780270924,0.381828228115119,0.0009595745941209,11,0.4210606686108594,0.4285910412465156,0.4135302959752032,0.0150607452713123,38125.37666666667,29834.863333333327,35361.87222222222,35361.87222222222,27071.358888888888,24307.85444444444,21544.35,24307.85444444444,27071.358888888888,21544.35,21544.35,21544.35,24307.854444444445,21544.35,21544.35,20261.64444444444,20261.64444444444,13848.116666666663,12565.411111111112,13848.116666666663,12565.411111111112,11282.705555555556,11282.705555555556,11282.705555555556,21544.35,EleutherAI_pythia-1.4b-deduped,EleutherAI_pythia-1.4b-deduped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-2.8b-deduped,Pythia-2.8B-deduped,step143000,143000,299892736000,en,33,1,0.2590971359222961,0.2517879175701491,0.266406354274443,-0.0146184367042939,0.2941872130148483,0.2870313603232167,0.3013430657064798,-0.0143117053832631,0.3173963620437254,0.3130752610392056,0.3217174630482453,-0.0086422020090396,0.3337574143244291,0.3304893157011817,0.3370255129476766,-0.0065361972464949,0.3547665276573031,0.3538095740754205,0.3557234812391855,-0.001913907163765,0.3745228980103747,0.3772621494310189,0.3717836465897306,0.0054785028412882,0.385844574121952,0.3892722373971706,0.3824169108467333,0.0068553265504373,0.3910684126023737,0.3950637980602006,0.387073027144547,0.0079907709156535,0.4047326031521271,0.4086830979463808,0.4007821083578734,0.0079009895885074,0.4110875804536868,0.4158520606581643,0.4063231002492093,0.009528960408955,0.4211342101949432,0.4252050693165907,0.4170633510732955,0.0081417182432952,0.4242393300951989,0.4280752035752735,0.4204034566151243,0.0076717469601492,0.4256682493755884,0.429902133174503,0.4214343655766739,0.008467767597829,0.4272418414457616,0.4301674153608695,0.4243162675306536,0.0058511478302158,0.4235768465292628,0.4269219666894303,0.4202317263690955,0.0066902403203348,0.4196532317294005,0.4224352749768396,0.4168711884819614,0.0055640864948781,0.4182862329856532,0.4214060626349285,0.415166403336378,0.0062396592985504,0.4183641954885806,0.421147866940919,0.4155805240362422,0.0055673429046768,0.4137768028466506,0.4164533701140678,0.4111002355792333,0.0053531345348344,0.4125574058425594,0.4149651469028848,0.4101496647822338,0.0048154821206509,0.4102719181629351,0.4130093835990873,0.407534452726783,0.0054749308723043,0.4090538571218775,0.4121971349543982,0.4059105792893568,0.0062865556650413,0.4045527527876122,0.4074768567123162,0.4016286488629081,0.005848207849408,0.4013620096388645,0.4043445783813793,0.3983794408963497,0.0059651374850296,0.3991745201147993,0.4015824467080854,0.3967665935215133,0.004815853186572,13,0.4272418414457616,0.4301674153608695,0.4243162675306536,0.0058511478302158,55559.965555555566,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,38125.37666666667,35361.87222222222,32598.367777777778,29834.863333333327,21544.35,24307.854444444445,27071.358888888888,27071.358888888888,32598.367777777778,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,32598.367777777778,EleutherAI_pythia-2.8b-deduped,EleutherAI_pythia-2.8b-deduped,0.3973642431568291,0.3996547079562689,0.3950737783573894,0.0045809295988794,0.3951965068913665,0.3971322162888906,0.3932607974938422,0.0038714187950484,0.393847713492774,0.395479264783392,0.3922161622021558,0.0032631025812362,0.3922645242880307,0.3934343270846669,0.3910947214913945,0.0023396055932723,0.391813463113149,0.393108316876283,0.390518609350015,0.002589707526268,0.3905497936173549,0.3911946317486093,0.3899049554861005,0.0012896762625087,0.3859859761244952,0.3864950204247929,0.3854769318241977,0.0010180886005952,0.3813055700267845,0.3824162406033701,0.3801948994501989,0.0022213411531711,,,,,,,,,,,,,,,,,29834.863333333327,29834.863333333327,32598.367777777778,32598.367777777778,27071.358888888888,32598.367777777778,39606.17555555555,28552.15777777777,,,,,2800000000.0,2.8,9.44715803134222
EleutherAI/pythia-6.9b-deduped,Pythia-6.9B-deduped,step143000,143000,299892736000,en,33,1,0.2497489563405373,0.2475883907939858,0.2519095218870888,-0.0043211310931029,0.2962135656815614,0.2892720187076677,0.3031551126554551,-0.0138830939477874,0.3094603962292251,0.3034490771499753,0.3154717153084749,-0.0120226381584996,0.3250032805532233,0.3209620354015779,0.3290445257048688,-0.0080824903032909,0.3420896408727311,0.3398911124924769,0.3442881692529854,-0.0043970567605085,0.3701871844407828,0.3720638368084328,0.3683105320731327,0.0037533047353001,0.3891297423373587,0.3927458352877966,0.3855136493869209,0.0072321859008757,0.3974163512965488,0.4031973147208248,0.3916353878722727,0.011561926848552,0.4102542650418772,0.4154380442111594,0.4050704858725949,0.0103675583385644,0.412649699227792,0.4184244879085736,0.4068749105470104,0.0115495773615631,0.4207160669641643,0.4286520992069145,0.4127800347214139,0.0158720644855006,0.4250199442448888,0.4325907867235054,0.4174491017662722,0.0151416849572331,0.4267718076627937,0.4335233019593473,0.4200203133662401,0.0135029885931072,0.4350317272858035,0.4421904211005843,0.4278730334710227,0.0143173876295616,0.4352062723240525,0.4415042158364698,0.4289083288116353,0.0125958870248345,0.4330389821355453,0.4395749952752876,0.4265029689958031,0.0130720262794845,0.4331876076830783,0.4394367354171045,0.426938479949052,0.0124982554680524,0.4325256858800185,0.4391309154412373,0.4259204563187996,0.0132104591224376,0.4292198064830324,0.4351051499486835,0.4233344630173814,0.011770686931302,0.4282386831779002,0.4336535628993626,0.4228238034564379,0.0108297594429246,0.4239026424082805,0.4288401577947999,0.4189651270217611,0.0098750307730387,0.4204224606178857,0.4251705708304037,0.4156743504053677,0.009496220425036,0.4174127541971402,0.4217453063037977,0.4130802020904828,0.0086651042133148,0.4147332116064282,0.4190198844512375,0.4104465387616189,0.0085733456896185,0.4124420052022555,0.4158347050848145,0.4090493053196964,0.0067853997651181,14,0.4352062723240525,0.4415042158364698,0.4289083288116353,0.0125958870248345,43652.38555555555,46415.89,46415.89,46415.89,46415.89,46415.89,40888.88111111111,38125.37666666667,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,43652.38555555555,46415.89,40888.88111111111,40888.88111111111,38125.37666666667,40888.88111111111,EleutherAI_pythia-6.9b-deduped,EleutherAI_pythia-6.9b-deduped,0.4102858519416859,0.4136987233683996,0.4068729805149723,0.0068257428534272,0.4076180108291127,0.410701500147726,0.4045345215104994,0.0061669786372266,0.4033419187189751,0.4053141191482989,0.4013697182896513,0.0039444008586476,0.401929888028963,0.4043941508727931,0.3994656251851328,0.0049285256876603,0.3996529631403507,0.401004814368006,0.3983011119126954,0.0027037024553105,0.3997999762706636,0.4009649003473751,0.3986350521939521,0.0023298481534229,0.3968918712339833,0.3983648498860086,0.3954188925819579,0.0029459573040507,0.3935708564602544,0.3947660769545533,0.3923756359659556,0.0023904409885976,,,,,,,,,,,,,,,,,32598.367777777778,27071.358888888888,38125.37666666667,32598.367777777778,38125.37666666667,29834.863333333327,32598.367777777778,24307.85444444444,,,,,6900000000.0,6.9,9.838849090737256
