model_id,model_label,revision,step,tokens_seen,lang,n_layers,n_subjects,layer_0_pearson,layer_0_pearson_left,layer_0_pearson_right,layer_0_lat,layer_1_pearson,layer_1_pearson_left,layer_1_pearson_right,layer_1_lat,layer_2_pearson,layer_2_pearson_left,layer_2_pearson_right,layer_2_lat,layer_3_pearson,layer_3_pearson_left,layer_3_pearson_right,layer_3_lat,layer_4_pearson,layer_4_pearson_left,layer_4_pearson_right,layer_4_lat,layer_5_pearson,layer_5_pearson_left,layer_5_pearson_right,layer_5_lat,layer_6_pearson,layer_6_pearson_left,layer_6_pearson_right,layer_6_lat,layer_7_pearson,layer_7_pearson_left,layer_7_pearson_right,layer_7_lat,layer_8_pearson,layer_8_pearson_left,layer_8_pearson_right,layer_8_lat,layer_9_pearson,layer_9_pearson_left,layer_9_pearson_right,layer_9_lat,layer_10_pearson,layer_10_pearson_left,layer_10_pearson_right,layer_10_lat,layer_11_pearson,layer_11_pearson_left,layer_11_pearson_right,layer_11_lat,layer_12_pearson,layer_12_pearson_left,layer_12_pearson_right,layer_12_lat,layer_13_pearson,layer_13_pearson_left,layer_13_pearson_right,layer_13_lat,layer_14_pearson,layer_14_pearson_left,layer_14_pearson_right,layer_14_lat,layer_15_pearson,layer_15_pearson_left,layer_15_pearson_right,layer_15_lat,layer_16_pearson,layer_16_pearson_left,layer_16_pearson_right,layer_16_lat,layer_17_pearson,layer_17_pearson_left,layer_17_pearson_right,layer_17_lat,layer_18_pearson,layer_18_pearson_left,layer_18_pearson_right,layer_18_lat,layer_19_pearson,layer_19_pearson_left,layer_19_pearson_right,layer_19_lat,layer_20_pearson,layer_20_pearson_left,layer_20_pearson_right,layer_20_lat,layer_21_pearson,layer_21_pearson_left,layer_21_pearson_right,layer_21_lat,layer_22_pearson,layer_22_pearson_left,layer_22_pearson_right,layer_22_lat,layer_23_pearson,layer_23_pearson_left,layer_23_pearson_right,layer_23_lat,layer_24_pearson,layer_24_pearson_left,layer_24_pearson_right,layer_24_lat,best_layer,mean_pearson,mean_pearson_left,mean_pearson_right,lateralization_index,layer_0_alpha,layer_1_alpha,layer_2_alpha,layer_3_alpha,layer_4_alpha,layer_5_alpha,layer_6_alpha,layer_7_alpha,layer_8_alpha,layer_9_alpha,layer_10_alpha,layer_11_alpha,layer_12_alpha,layer_13_alpha,layer_14_alpha,layer_15_alpha,layer_16_alpha,layer_17_alpha,layer_18_alpha,layer_19_alpha,layer_20_alpha,layer_21_alpha,layer_22_alpha,layer_23_alpha,layer_24_alpha,model_dir,model_folder,layer_25_pearson,layer_25_pearson_left,layer_25_pearson_right,layer_25_lat,layer_26_pearson,layer_26_pearson_left,layer_26_pearson_right,layer_26_lat,layer_27_pearson,layer_27_pearson_left,layer_27_pearson_right,layer_27_lat,layer_28_pearson,layer_28_pearson_left,layer_28_pearson_right,layer_28_lat,layer_29_pearson,layer_29_pearson_left,layer_29_pearson_right,layer_29_lat,layer_30_pearson,layer_30_pearson_left,layer_30_pearson_right,layer_30_lat,layer_31_pearson,layer_31_pearson_left,layer_31_pearson_right,layer_31_lat,layer_32_pearson,layer_32_pearson_left,layer_32_pearson_right,layer_32_lat,layer_33_pearson,layer_33_pearson_left,layer_33_pearson_right,layer_33_lat,layer_34_pearson,layer_34_pearson_left,layer_34_pearson_right,layer_34_lat,layer_35_pearson,layer_35_pearson_left,layer_35_pearson_right,layer_35_lat,layer_36_pearson,layer_36_pearson_left,layer_36_pearson_right,layer_36_lat,layer_25_alpha,layer_26_alpha,layer_27_alpha,layer_28_alpha,layer_29_alpha,layer_30_alpha,layer_31_alpha,layer_32_alpha,layer_33_alpha,layer_34_alpha,layer_35_alpha,layer_36_alpha,n_params,n_params_b,log10_n_params
EleutherAI/pythia-1b-deduped,Pythia-1B-deduped,step143000,143000,299892736000,en,17,1,0.2628545602717588,0.2582674379509794,0.2674416825925382,-0.0091742446415588,0.301867133256638,0.2962092606823916,0.3075250058308844,-0.0113157451484927,0.3194440651762643,0.3153279339925466,0.3235601963599819,-0.0082322623674352,0.3479060774893781,0.3463839851618103,0.3494281698169458,-0.0030441846551355,0.3731631001555673,0.3724386684347369,0.3738875318763978,-0.0014488634416608,0.3848619028378253,0.3869079066647871,0.3828158990108635,0.0040920076539235,0.3857616208228014,0.3873652525488438,0.3841579890967588,0.0032072634520849,0.4034073918088861,0.4067287158068615,0.4000860678109106,0.0066426479959508,0.4078304951746469,0.412096076120251,0.4035649142290428,0.0085311618912082,0.4105742673033537,0.4150180543480893,0.4061304802586181,0.0088875740894712,0.4045062103827886,0.4089529814135825,0.4000594393519947,0.0088935420615878,0.404680418966297,0.4095533827273404,0.3998074552052536,0.0097459275220867,0.4001322418379073,0.4049581989029825,0.3953062847728322,0.0096519141301503,0.3919549855589135,0.3951425501670115,0.3887674209508154,0.006375129216196,0.3846668021200679,0.3878029004018298,0.3815307038383059,0.0062721965635238,0.3785988591700671,0.3815231422343418,0.3756745761057925,0.0058485661285493,0.3695581213152357,0.3711162672122288,0.3679999754182426,0.0031162917939862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4105742673033537,0.4150180543480893,0.4061304802586181,0.0088875740894712,40888.88111111111,32598.36777777777,43652.38555555555,24307.85444444444,24307.85444444444,21544.35,21544.35,24307.85444444444,29834.863333333327,29834.863333333327,27071.358888888888,24307.85444444444,21544.35,21544.35,20261.64444444444,23025.14888888889,23025.14888888889,,,,,,,,,EleutherAI_pythia-1b-deduped,EleutherAI_pythia-1b-deduped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000.0,1.0,9.0
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,25,1,0.2658367827752705,0.2614204003072617,0.2702531652432793,-0.0088327649360175,0.3007405357914457,0.2901599212205365,0.311321150362355,-0.0211612291418185,0.3181538150015215,0.3102682480745339,0.3260393819285092,-0.0157711338539753,0.3387789753310939,0.3344572799986516,0.3431006706635363,-0.0086433906648847,0.3620784499790271,0.3608441689320634,0.3633127310259907,-0.0024685620939272,0.3713484094507511,0.371094572530674,0.3716022463708282,-0.0005076738401542,0.3850164163219818,0.3875407842992124,0.382492048344751,0.0050487359544614,0.3990878595906917,0.4032647007164754,0.3949110184649079,0.0083536822515675,0.4024570309470316,0.4070953486309265,0.3978187132631366,0.0092766353677898,0.4113675375477547,0.4167336226562102,0.4060014524392992,0.010732170216911,0.4177201247360362,0.4239311192166043,0.4115091302554681,0.0124219889611362,0.4210606686108594,0.4285910412465156,0.4135302959752032,0.0150607452713123,0.418496048810695,0.4252745012458341,0.411717596375556,0.0135569048702781,0.4175388667481197,0.4230872442523455,0.4119904892438938,0.0110967550084517,0.4190533610384595,0.424681975642727,0.4134247464341919,0.011257229208535,0.4152635658044555,0.420444682191221,0.4100824494176901,0.0103622327735308,0.4102226469320992,0.4145692724945796,0.4058760213696188,0.0086932511249607,0.4080704807529563,0.4130922671725366,0.4030486943333761,0.0100435728391605,0.4032229105882133,0.4079975886093014,0.3984482325671251,0.0095493560421763,0.3974785988451699,0.4006909396093433,0.3942662580809964,0.0064246815283468,0.3952504229442029,0.3979887832290194,0.3925120626593864,0.0054767205696329,0.3914368022604582,0.3939290272256012,0.388944577295315,0.0049844499302861,0.3859469051977368,0.388123973081827,0.3837698373136468,0.0043541357681802,0.3844505089965727,0.386034914618337,0.3828661033748083,0.0031688112435287,0.3823080154121795,0.38278780270924,0.381828228115119,0.0009595745941209,11,0.4210606686108594,0.4285910412465156,0.4135302959752032,0.0150607452713123,38125.37666666667,29834.863333333327,35361.87222222222,35361.87222222222,27071.358888888888,24307.85444444444,21544.35,24307.85444444444,27071.358888888888,21544.35,21544.35,21544.35,24307.854444444445,21544.35,21544.35,20261.64444444444,20261.64444444444,13848.116666666663,12565.411111111112,13848.116666666663,12565.411111111112,11282.705555555556,11282.705555555556,11282.705555555556,21544.35,EleutherAI_pythia-1.4b-deduped,EleutherAI_pythia-1.4b-deduped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-2.8b-deduped,Pythia-2.8B-deduped,step143000,143000,299892736000,en,33,1,0.2590971359222961,0.2517879175701491,0.266406354274443,-0.0146184367042939,0.2941872130148483,0.2870313603232167,0.3013430657064798,-0.0143117053832631,0.3173963620437254,0.3130752610392056,0.3217174630482453,-0.0086422020090396,0.3337574143244291,0.3304893157011817,0.3370255129476766,-0.0065361972464949,0.3547665276573031,0.3538095740754205,0.3557234812391855,-0.001913907163765,0.3745228980103747,0.3772621494310189,0.3717836465897306,0.0054785028412882,0.385844574121952,0.3892722373971706,0.3824169108467333,0.0068553265504373,0.3910684126023737,0.3950637980602006,0.387073027144547,0.0079907709156535,0.4047326031521271,0.4086830979463808,0.4007821083578734,0.0079009895885074,0.4110875804536868,0.4158520606581643,0.4063231002492093,0.009528960408955,0.4211342101949432,0.4252050693165907,0.4170633510732955,0.0081417182432952,0.4242393300951989,0.4280752035752735,0.4204034566151243,0.0076717469601492,0.4256682493755884,0.429902133174503,0.4214343655766739,0.008467767597829,0.4272418414457616,0.4301674153608695,0.4243162675306536,0.0058511478302158,0.4235768465292628,0.4269219666894303,0.4202317263690955,0.0066902403203348,0.4196532317294005,0.4224352749768396,0.4168711884819614,0.0055640864948781,0.4182862329856532,0.4214060626349285,0.415166403336378,0.0062396592985504,0.4183641954885806,0.421147866940919,0.4155805240362422,0.0055673429046768,0.4137768028466506,0.4164533701140678,0.4111002355792333,0.0053531345348344,0.4125574058425594,0.4149651469028848,0.4101496647822338,0.0048154821206509,0.4102719181629351,0.4130093835990873,0.407534452726783,0.0054749308723043,0.4090538571218775,0.4121971349543982,0.4059105792893568,0.0062865556650413,0.4045527527876122,0.4074768567123162,0.4016286488629081,0.005848207849408,0.4013620096388645,0.4043445783813793,0.3983794408963497,0.0059651374850296,0.3991745201147993,0.4015824467080854,0.3967665935215133,0.004815853186572,13,0.4272418414457616,0.4301674153608695,0.4243162675306536,0.0058511478302158,55559.965555555566,43652.38555555555,43652.38555555555,43652.38555555555,43652.38555555555,38125.37666666667,35361.87222222222,32598.367777777778,29834.863333333327,21544.35,24307.854444444445,27071.358888888888,27071.358888888888,32598.367777777778,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,35361.87222222222,32598.367777777778,EleutherAI_pythia-2.8b-deduped,EleutherAI_pythia-2.8b-deduped,0.3973642431568291,0.3996547079562689,0.3950737783573894,0.0045809295988794,0.3951965068913665,0.3971322162888906,0.3932607974938422,0.0038714187950484,0.393847713492774,0.395479264783392,0.3922161622021558,0.0032631025812362,0.3922645242880307,0.3934343270846669,0.3910947214913945,0.0023396055932723,0.391813463113149,0.393108316876283,0.390518609350015,0.002589707526268,0.3905497936173549,0.3911946317486093,0.3899049554861005,0.0012896762625087,0.3859859761244952,0.3864950204247929,0.3854769318241977,0.0010180886005952,0.3813055700267845,0.3824162406033701,0.3801948994501989,0.0022213411531711,,,,,,,,,,,,,,,,,29834.863333333327,29834.863333333327,32598.367777777778,32598.367777777778,27071.358888888888,32598.367777777778,39606.17555555555,28552.15777777777,,,,,2800000000.0,2.8,9.44715803134222
EleutherAI/pythia-6.9b-deduped,Pythia-6.9B-deduped,step143000,143000,299892736000,en,33,1,0.2497489563405373,0.2475883907939858,0.2519095218870888,-0.0043211310931029,0.2962135656815614,0.2892720187076677,0.3031551126554551,-0.0138830939477874,0.3094603962292251,0.3034490771499753,0.3154717153084749,-0.0120226381584996,0.3250032805532233,0.3209620354015779,0.3290445257048688,-0.0080824903032909,0.3420896408727311,0.3398911124924769,0.3442881692529854,-0.0043970567605085,0.3701871844407828,0.3720638368084328,0.3683105320731327,0.0037533047353001,0.3891297423373587,0.3927458352877966,0.3855136493869209,0.0072321859008757,0.3974163512965488,0.4031973147208248,0.3916353878722727,0.011561926848552,0.4102542650418772,0.4154380442111594,0.4050704858725949,0.0103675583385644,0.412649699227792,0.4184244879085736,0.4068749105470104,0.0115495773615631,0.4207160669641643,0.4286520992069145,0.4127800347214139,0.0158720644855006,0.4250199442448888,0.4325907867235054,0.4174491017662722,0.0151416849572331,0.4267718076627937,0.4335233019593473,0.4200203133662401,0.0135029885931072,0.4350317272858035,0.4421904211005843,0.4278730334710227,0.0143173876295616,0.4352062723240525,0.4415042158364698,0.4289083288116353,0.0125958870248345,0.4330389821355453,0.4395749952752876,0.4265029689958031,0.0130720262794845,0.4331876076830783,0.4394367354171045,0.426938479949052,0.0124982554680524,0.4325256858800185,0.4391309154412373,0.4259204563187996,0.0132104591224376,0.4292198064830324,0.4351051499486835,0.4233344630173814,0.011770686931302,0.4282386831779002,0.4336535628993626,0.4228238034564379,0.0108297594429246,0.4239026424082805,0.4288401577947999,0.4189651270217611,0.0098750307730387,0.4204224606178857,0.4251705708304037,0.4156743504053677,0.009496220425036,0.4174127541971402,0.4217453063037977,0.4130802020904828,0.0086651042133148,0.4147332116064282,0.4190198844512375,0.4104465387616189,0.0085733456896185,0.4124420052022555,0.4158347050848145,0.4090493053196964,0.0067853997651181,14,0.4352062723240525,0.4415042158364698,0.4289083288116353,0.0125958870248345,43652.38555555555,46415.89,46415.89,46415.89,46415.89,46415.89,40888.88111111111,38125.37666666667,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,43652.38555555555,46415.89,40888.88111111111,40888.88111111111,38125.37666666667,40888.88111111111,EleutherAI_pythia-6.9b-deduped,EleutherAI_pythia-6.9b-deduped,0.4102858519416859,0.4136987233683996,0.4068729805149723,0.0068257428534272,0.4076180108291127,0.410701500147726,0.4045345215104994,0.0061669786372266,0.4033419187189751,0.4053141191482989,0.4013697182896513,0.0039444008586476,0.401929888028963,0.4043941508727931,0.3994656251851328,0.0049285256876603,0.3996529631403507,0.401004814368006,0.3983011119126954,0.0027037024553105,0.3997999762706636,0.4009649003473751,0.3986350521939521,0.0023298481534229,0.3968918712339833,0.3983648498860086,0.3954188925819579,0.0029459573040507,0.3935708564602544,0.3947660769545533,0.3923756359659556,0.0023904409885976,,,,,,,,,,,,,,,,,32598.367777777778,27071.358888888888,38125.37666666667,32598.367777777778,38125.37666666667,29834.863333333327,32598.367777777778,24307.85444444444,,,,,6900000000.0,6.9,9.838849090737256
EleutherAI/pythia-12b-deduped,Pythia-12B-deduped,step143000,143000,299892736000,en,37,1,0.2470173541934993,0.2441565440774696,0.2498781643095291,-0.0057216202320595,0.2863673347796029,0.2777581188043734,0.2949765507548325,-0.017218431950459,0.3040442228205953,0.2981512967178689,0.3099371489233217,-0.0117858522054528,0.3295323422848136,0.3264714052452632,0.3325932793243642,-0.006121874079101,0.3491161321397612,0.3476911911121774,0.350541073167345,-0.0028498820551676,0.3733755492833001,0.3726107184840924,0.3741403800825077,-0.0015296615984152,0.3858327628749878,0.3863419663760011,0.3853235593739746,0.0010184070020264,0.3968758271883995,0.3982411264730784,0.3955105279037206,0.0027305985693577,0.4068724461752497,0.4100565224689192,0.4036883698815802,0.006368152587339,0.4153649006311859,0.4204841032535363,0.4102456980088354,0.0102384052447009,0.4180527468207888,0.4241259979614932,0.4119794956800845,0.0121465022814087,0.423864586694352,0.4303341787386516,0.4173949946500526,0.012939184088599,0.4275468635545219,0.4344770937538261,0.4206166333552178,0.0138604603986083,0.4319044571287855,0.4381447692369619,0.4256641450206093,0.0124806242163525,0.4371835347221993,0.4448127951034093,0.4295542743409893,0.0152585207624199,0.4395535383287112,0.446783141744745,0.4323239349126775,0.0144592068320674,0.4401039587636403,0.4477505596804128,0.4324573578468679,0.0152932018335449,0.4396869732472548,0.4475913224715181,0.4317826240229916,0.0158086984485264,0.4368023220087656,0.4441497649450652,0.4294548790724662,0.0146948858725989,0.4340681697349125,0.4408010439193691,0.4273352955504559,0.0134657483689131,0.4329675358617695,0.4393412467168747,0.4265938250066642,0.0127474217102105,0.4299103602811202,0.4365269360355416,0.4232937845266987,0.0132331515088429,0.425730453375643,0.4323001456226563,0.4191607611286297,0.0131393844940265,0.4229743666164882,0.428454352322728,0.4174943809102483,0.0109599714124797,0.4212313282500879,0.4266630275748129,0.415799628925363,0.0108633986494498,16,0.4401039587636403,0.4477505596804128,0.4324573578468679,0.0152932018335449,46415.89,58323.47,58323.47,88092.42,94046.21,88092.42,58323.47,52369.68,46415.89,46415.89,46415.89,46415.89,46415.89,52369.68,46415.89,52369.68,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.4192547130225788,0.4245691677008807,0.4139402583442769,0.0106289093566038,0.4168972539149871,0.421724900756492,0.4120696070734824,0.0096552936830096,0.4132358768606974,0.4174301751634215,0.4090415785579732,0.0083885966054483,0.41054050191115,0.4143651004556918,0.4067159033666081,0.0076491970890837,0.4069747669406227,0.4103116455962972,0.4036378882849483,0.0066737573113488,0.4038671876857542,0.4070160748301893,0.4007183005413192,0.0062977742888701,0.4028341997761757,0.4055805560756514,0.4000878434766999,0.0054927125989515,0.4008110587393061,0.4034022283748358,0.3982198891037765,0.0051823392710593,0.398458337256537,0.400804264789813,0.3961124097232609,0.0046918550665521,0.3962206150898242,0.3984970214463901,0.3939442087332582,0.0045528127131319,0.3945608171206741,0.3967216958620114,0.3923999383793367,0.0043217574826747,0.3911453497042377,0.3935813733358719,0.3887093260726035,0.0048720472632684,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,46415.89,43652.38555555555,43652.38555555555,43652.38555555555,12000000000.0,12.0,10.079181246047625
